;;;;;;;;;;
Datum;Beginn;Ende;Unbezahlte Zeit;Gearbeitete Zeit + Überstunden;Überstunden;Stundenlohn;Zusätzl. Bezahlung;Gesamt;Job;Notizen
01.06.2019;14:30;23:30;;9h 0m;;13,50 €;29,00 €;150,50 €;Palsta;
04.06.2019;13:00;00:00;;11h 0m;;13,50 €;37,00 €;185,50 €;Palsta;
05.06.2019;14:30;23:45;;9h 15m;;13,50 €;10,00 €;134,88 €;Palsta;
06.06.2019;14:00;23:30;;9h 30m;;13,50 €;20,00 €;148,25 €;Palsta;
07.06.2019;15:00;22:30;;7h 30m;;13,50 €;11,00 €;112,25 €;Palsta;
08.06.2019;15:00;00:00;;9h 0m;;13,50 €;20,00 €;141,50 €;Palsta;
11.06.2019;13:00;23:30;;10h 30m;;13,50 €;17,00 €;158,75 €;Palsta;
12.06.2019;14:30;23:30;;9h 0m;;13,50 €;28,50 €;150,00 €;Palsta;
15.06.2019;10:00;16:45;;6h 45m;;13,50 €;0,00 €;91,12 €;Palsta;
18.06.2019;13:00;23:30;;10h 30m;;13,50 €;19,50 €;161,25 €;Palsta;
19.06.2019;14:00;23:15;;9h 15m;;13,50 €;20,00 €;144,88 €;Palsta;
20.06.2019;15:00;23:15;;8h 15m;;13,50 €;7,00 €;118,38 €;Palsta;
22.06.2019;15:00;00:50;;9h 50m;;13,50 €;33,00 €;165,75 €;Palsta;
25.06.2019;13:00;23:00;;10h 0m;;13,50 €;20,00 €;155,00 €;Palsta;
26.06.2019;14:00;23:25;;9h 25m;;13,50 €;22,50 €;149,62 €;Palsta;
27.06.2019;15:00;23:30;;8h 30m;;13,50 €;19,00 €;133,75 €;Palsta;
28.06.2019;14:00;00:00;;10h 0m;;13,50 €;24,00 €;159,00 €;Palsta;
29.06.2019;14:00;00:00;;10h 0m;;13,50 €;30,00 €;165,00 €;Palsta;
02.07.2019;13:00;17:15;;4h 15m;;13,50 €;0,00 €;57,38 €;Palsta;
03.07.2019;15:00;23:40;;8h 40m;;13,50 €;15,00 €;132,00 €;Palsta;
06.07.2019;15:00;00:30;;9h 30m;;13,50 €;28,00 €;156,25 €;Palsta;
09.07.2019;14:00;23:30;;9h 30m;;13,50 €;17,00 €;145,25 €;Palsta;
10.07.2019;15:00;23:30;;8h 30m;;13,50 €;0,00 €;114,75 €;Palsta;
12.07.2019;15:00;00:00;;9h 0m;;13,50 €;36,00 €;157,50 €;Palsta;
13.07.2019;15:00;00:00;;9h 0m;;13,50 €;38,00 €;159,50 €;Palsta;
16.07.2019;15:00;23:30;;8h 30m;;13,50 €;30,00 €;144,75 €;Palsta;
17.07.2019;15:00;23:15;;8h 15m;;13,50 €;12,00 €;123,38 €;Palsta;
18.07.2019;14:00;23:15;;9h 15m;;13,50 €;31,50 €;156,38 €;Palsta;
23.07.2019;14:00;19:00;;5h 0m;;13,50 €;0,00 €;67,50 €;Palsta;
24.07.2019;14:30;23:30;;9h 0m;;13,50 €;17,50 €;139,00 €;Palsta;
25.07.2019;14:00;00:00;;10h 0m;;13,00 €;26,00 €;156,00 €;Palsta;
26.07.2019;14:00;23:30;;9h 30m;;13,50 €;20,00 €;148,25 €;Palsta;
27.07.2019;14:00;00:00;;10h 0m;;13,50 €;24,00 €;159,00 €;Palsta;
06.08.2019;14:00;23:15;;9h 15m;;13,50 €;0,00 €;124,88 €;Palsta;
07.08.2019;14:00;23:30;;9h 30m;;13,50 €;0,00 €;128,25 €;Palsta;
08.08.2019;15:00;23:30;;8h 30m;;13,50 €;0,00 €;114,75 €;Palsta;
09.08.2019;15:00;23:45;;8h 45m;;13,50 €;0,00 €;118,12 €;Palsta;
10.08.2019;15:00;00:45;;9h 45m;;13,50 €;0,00 €;131,81 €;Palsta;
13.08.2019;13:00;23:30;;10h 30m;;13,50 €;0,00 €;141,75 €;Palsta;
15.08.2019;14:00;23:45;;9h 45m;;13,50 €;0,00 €;131,62 €;Palsta;
16.08.2019;14:00;23:30;;9h 30m;;13,50 €;0,00 €;128,25 €;Palsta;
17.08.2019;15:00;00:30;;9h 30m;;13,50 €;0,00 €;128,25 €;Palsta;
20.08.2019;13:00;00:00;;11h 0m;;13,50 €;0,00 €;148,50 €;Palsta;
22.08.2019;14:00;00:30;;10h 30m;;13,50 €;0,00 €;141,75 €;Palsta;
23.08.2019;15:00;00:00;;9h 0m;;13,50 €;0,00 €;121,50 €;Palsta;
27.08.2019;13:00;23:45;;10h 45m;;13,50 €;0,00 €;145,12 €;Palsta;
30.08.2019;15:00;00:30;;9h 30m;;13,50 €;0,00 €;128,25 €;Palsta;
31.08.2019;15:00;00:00;;9h 0m;;13,50 €;0,00 €;121,50 €;Palsta;
03.09.2019;13:30;23:15;;9h 45m;;13,50 €;0,00 €;131,62 €;Palsta;
05.09.2019;14:00;22:45;;8h 45m;;13,50 €;0,00 €;118,12 €;Palsta;
06.09.2019;15:00;00:00;;9h 0m;;13,50 €;0,00 €;121,50 €;Palsta;
07.09.2019;15:30;22:15;;6h 45m;;13,50 €;0,00 €;91,12 €;Palsta;
10.09.2019;14:00;17:15;;3h 15m;;13,50 €;0,00 €;43,88 €;Palsta;
12.09.2019;15:00;23:45;;8h 45m;;13,50 €;0,00 €;118,12 €;Palsta;
13.09.2019;14:30;00:00;;9h 30m;;13,50 €;0,00 €;128,25 €;Palsta;
14.09.2019;14:00;00:45;;10h 45m;;13,50 €;0,00 €;145,12 €;Palsta;
17.09.2019;13:00;23:00;;10h 0m;;13,50 €;0,00 €;135,00 €;Palsta;
18.09.2019;14:00;22:30;;8h 30m;;13,50 €;0,00 €;114,75 €;Palsta;
19.09.2019;15:00;23:00;;8h 0m;;13,50 €;0,00 €;108,00 €;Palsta;
20.09.2019;15:00;23:00;;8h 0m;;13,50 €;0,00 €;108,00 €;Palsta;
21.09.2019;14:00;00:30;;10h 30m;;13,50 €;0,00 €;141,75 €;Palsta;
24.09.2019;13:00;23:00;;10h 0m;;13,50 €;0,00 €;135,00 €;Palsta;
25.09.2019;14:00;23:15;;9h 15m;;13,50 €;0,00 €;124,88 €;Palsta;
26.09.2019;14:30;23:00;;8h 30m;;13,50 €;0,00 €;114,75 €;Palsta;
27.09.2019;15:00;23:30;;8h 30m;;13,50 €;0,00 €;114,75 €;Palsta;
28.09.2019;16:00;00:00;;8h 0m;;13,50 €;0,00 €;108,00 €;Palsta;
03.10.2019;14:00;23:30;;9h 30m;;13,50 €;0,00 €;128,25 €;Palsta;
04.10.2019;14:00;23:00;;9h 0m;;13,50 €;0,00 €;121,50 €;Palsta;
